,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
567,Ugoofaaru,MV,82.85,overcast clouds,5.6667,73.0,Ungoofaaru Inn
596,Mamallapuram,IN,86.05,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
598,Santa Marta,CO,83.05,overcast clouds,11.2408,-74.199,Casa de Isabella
602,Griffith,US,87.1,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
604,Lalmohan,BD,84.45,clear sky,22.3384,90.7419,Sundorbon courier service
619,Point Pleasant,US,84.22,overcast clouds,40.0832,-74.0682,Point Pleasant Manor
640,Yendi,GH,86.25,light rain,9.4427,-0.0099,Eyarro Lodge
647,Gushikawa,JP,82.4,overcast clouds,26.3544,127.8686,Kirari Guest House
648,Itacoatiara,BR,87.44,light rain,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
649,Monrovia,LR,82.17,light rain,6.3005,-10.7969,Sunset Inn
652,Vandalur,IN,85.77,few clouds,12.8928,80.0808,corparate accomadation
654,Roura,GF,82.96,light rain,4.7263,-52.3274,Amazonie Découverte SARL
672,Assiniboia,CA,89.42,clear sky,49.6334,-105.9845,Canalta Hotel Assiniboia
677,Tikapur,NP,87.04,clear sky,28.5,81.1333,BANANA AGRO RESORT
678,Melita,CA,86.45,overcast clouds,49.2681,-100.9967,Western Star Hotel
679,Lodwar,KE,88.72,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
681,Ravar,IR,89.83,clear sky,31.2656,56.8055,computertik
683,Tingo Maria,PE,84.2,few clouds,-9.2895,-76.0088,Hospedaje Paraíso
686,Tomatlan,MX,86.25,overcast clouds,19.9333,-105.25,Norma franco
687,Macau,MO,86.13,scattered clouds,22.2006,113.5461,Grand Emperor Hotel
690,Sabang,ID,82.87,heavy intensity rain,5.8933,95.3214,Hotel Citra
696,Road Town,VG,87.89,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
698,Porto Novo,BJ,84.02,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
699,Teacapan,MX,88.57,overcast clouds,22.55,-105.75,Hotel los Mangos
712,Yara,CU,87.66,heavy intensity rain,20.2753,-76.9533,Casa de Margarita Puebla Lorente
713,Sao Domingos,BR,83.64,broken clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
715,San Carlos,VE,85.69,broken clouds,9.6612,-68.5827,Hotel Paternopoli
